trackid,name_track,artist_c,year,month,day,spotify_CHA,stream_int,data_lancamento,name_artist_,qtd_music_solo,quartile_stream,total_playlist,categoria,track_id,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts
2237089,Rolling in the Deep,1,2010,11,29,6,1472799873,29/11/2010,Adele,4,4,42159,alto,2237089,195,125,6280,2,78
3451143,Sure Thing,1,2010,5,25,19,950906471,25/05/2010,Miguel,1,4,14373,alto,3451143,137,125,435,6,285
6057014,Es un Secreto,1,2010,7,20,36,540654286,20/07/2010,Plan B,1,3,515,baixo,6057014,4,3,19,0,0
3605651,Cant Hold Us feat Ray Dalton,3,2011,8,16,52,1953533826,16/08/2011,Ray Dalton Ryan Lewis Macklemore,1,4,12826,alto,3605651,201,44,6551,2,0
5666047,Mistletoe,1,2011,1,1,0,629173063,01/01/2011,Justin Bieber,3,3,10082,baixo,5666047,195,111,310,0,0
4242212,We Found Love,2,2011,1,1,21,1235005533,01/01/2011,Rihanna Calvin Harris,1,4,41771,alto,4242212,321,91,4607,1,58
4458161,Radio,1,2011,1,1,46,284819874,01/01/2011,Lana Del Rey,3,2,9695,baixo,4458161,24,122,282,3,368
1216337,Summertime Sadness,1,2011,1,1,52,983637508,01/01/2011,Lana Del Rey,3,4,22054,alto,1216337,89,143,1632,3,200
3780370,Somebody That I Used To Know,2,2011,1,1,0,1457139296,01/01/2011,Gotye Kimbra,1,4,49523,alto,3780370,217,136,6508,1,
4350729,Set Fire to the Rain,1,2011,1,1,43,1163620694,01/01/2011,Adele,4,4,16990,alto,4350729,88,112,2163,5,519
7921549,Bloody Mary,1,2011,1,1,0,372476382,01/01/2011,Lady Gaga,2,3,4252,baixo,7921549,66,26,277,3,734
7546342,Its Beginning To Look A Lot Like Christmas,1,2011,10,14,0,807561936,14/10/2011,Michael Bubl,2,4,12937,alto,7546342,35,0,549,0,0
4319986,Holly Jolly Christmas,1,2011,10,14,0,476244795,14/10/2011,Michael Bubl,2,3,7951,baixo,4319986,5,0,291,0,0
2391919,Another Love,1,2012,10,15,83,1813673666,15/10/2012,Tom Odell,1,4,22015,alto,2391919,250,122,3394,19,
3509026,When I Was Your Man,1,2012,12,5,11,1661187319,05/12/2012,Bruno Mars,4,4,3226,alto,3509026,0,0,806,0,0
3369956,Locked Out Of Heaven,1,2012,12,5,9,1481349984,05/12/2012,Bruno Mars,4,4,1978,alto,3369956,0,0,356,0,0
8895699,Sweater Weather,1,2012,5,14,61,2282771485,14/05/2012,The Neighbourhood,3,4,17635,alto,8895699,166,87,1056,1,
8274842,MONTAGEM  FR PUNK,2,2012,6,20,50,58054811,20/06/2012,Ayparia unxbected,1,1,650,baixo,8274842,1,52,8,0,1170
8580552,Demons,1,2012,1,1,13,1840364617,01/01/2012,Imagine Dragons,3,4,30184,alto,8580552,65,82,3425,4,13
1729982,Lover,1,2012,1,1,23,882831184,01/01/2012,Taylor Swift,34,4,8771,alto,1729982,160,110,163,0,5
1967014,Payphone,2,2012,1,1,4,1479264469,01/01/2012,Maroon 5 Wiz Khalifa,1,4,16090,alto,1967014,56,38,1891,1,
3115886,Lost,1,2012,1,1,11,822239726,01/01/2012,Frank Ocean,2,4,30210,alto,3115886,124,27,587,0,4
7811952,Money Trees,2,2012,1,1,32,1093605526,01/01/2012,Kendrick Lamar Jay Rock,1,4,27556,alto,7811952,69,113,695,0,458
4722538,Thinking with My Dick,2,2013,7,16,0,109091573,16/07/2013,Kevin Gates Juicy J,1,1,1564,baixo,4722538,0,0,14,0,0
4152167,All of Me,1,2013,8,1,0,2086124197,01/08/2013,John Legend,1,4,32063,alto,4152167,308,118,4534,2,77
8126826,Ginseng Strip 2002,1,2013,8,16,0,240769997,16/08/2013,Yung Lean,1,2,4436,baixo,8126826,13,0,113,1,3
7256696,Take Me To Church,1,2013,9,13,31,2135158446,13/09/2013,Hozier,1,4,28614,alto,7256696,187,99,4623,1,0
1406287,I Wanna Be Yours,1,2013,1,1,110,1297026226,01/01/2013,Arctic Monkeys,4,4,13465,alto,1406287,24,98,582,2,73
2664577,Do I Wanna Know,1,2013,1,1,26,1788326445,01/01/2013,Arctic Monkeys,4,4,36649,alto,2664577,133,92,2733,1,26
5906167,Get Lucky  Radio Edit,3,2013,1,1,0,933815613,01/01/2013,Pharrell Williams Nile Rodgers Daft Punk,1,4,61316,alto,5906167,203,1,8215,0,0
7325433,Counting Stars,1,2013,1,1,43,2011464183,01/01/2013,OneRepublic,2,4,32788,alto,7325433,179,97,3394,11,153
3968436,Bound 2,1,2013,1,1,7,703301727,01/01/2013,Kanye West,3,4,20113,alto,3968436,33,11,274,0,0
5999455,Whyd You Only Call Me When Youre High,1,2013,1,1,29,1267333350,01/01/2013,Arctic Monkeys,4,4,24532,alto,5999455,54,70,1089,2,1
7405938,Wake Me Up  Radio Edit,1,2013,1,1,34,1970673297,01/01/2013,Avicii,2,4,57486,alto,7405938,315,160,6284,1,46
4278371,Underneath the Tree,1,2013,10,25,0,485285717,25/10/2013,Kelly Clarkson,1,3,6991,baixo,4278371,144,99,251,0,0
1236328,Santa Tell Me,1,2013,12,13,0,834129063,13/12/2013,Ariana Grande,2,4,10078,alto,1236328,231,106,439,0,
4795987,Night Changes,1,2014,11,17,18,1131090940,17/11/2014,One Direction,1,4,7186,alto,4795987,60,20,2,0,
8584244,I Love You So,1,2014,11,28,7,972164968,28/11/2014,The Walters,1,4,7715,alto,8584244,44,19,135,0,6
8189388,No Role Modelz,1,2014,12,9,36,1791000570,09/12/2014,J Cole,1,4,21720,alto,8189388,80,65,476,0,14
