name_artist_,total_musicas,total_streams
Muni Long,1,181328253
The Weeknd Lil Wayne,1,91656026
ThxSoMch,1,301869854
Israel  Rodolffo Ana Castela,1,263453310
Rma Selena G,1,899183384
Marlia Mendo,1,267789608
SZA Phoebe Bridgers,1,110073250
Bad Bunny The Mar,1,319546754
Kanye West XXXTENTACION,1,194902696
Bad Bunny Eladio Carrion,1,250305248
Bobby Helms,1,741301563
The Ronettes,1,404664135
Mariah Carey,1,1449779435
Jain,1,165484133
The Weeknd Daft Punk,1,2565529693
NIKI,1,290228626
Drake DJ Khaled Lil Baby,1,170732845
Quevedo La Pantera Juseph Cruz Cafun Bjo Abhir Hathi,1,245400167
Mahmood Blanco,1,135079152
Kanye West Alicia Keys Fivio Foreign,1,107255472
NMIXX,1,135444283
The Weeknd 21 Savage Metro Boomin,1,843957510
Grupo Marca Registrada Junior H,1,287278853
TOMORROW X TOGETHER,1,107642809
Eslabon Armado Peso Pluma,1,725980112
NF,1,52722996
The Goo Goo Dolls,1,1284942608
Tom Odell,1,1813673666
Ayparia unxbected,1,58054811
Dua Lipa Elton John Pnau,1,1605224506
Sech Bad Bunny Mora,1,610045621
Freddie Dredd,1,199386237
Young Thug Future Gunna,1,311395144
SZA Travis Scott,1,155653938
Nicky Jam Feid,1,57945987
Plan B,1,540654286
Lady Gaga Bradley Cooper,1,2159346687
Anuel Aa Jhay Cortez,1,355219175
Drake Future Young Thug,1,489945871
Twisted Oliver Tree,1,213438580
Matu Wiu ,1,187772591
Tyga Doja Cat,1,153240879
Fuerza Regida Peso Pluma,1,158950978
The Chainsmokers Halsey,1,2591224264
Shae Gill Ali Sethi,1,284249832
Arcangel Bad Bunny,1,538115192
Justin Bieber Don Toliver,1,106919680
Calvin Harris Halsey Pharrell Williams Justin Timberlake,1,123473120
Future Lil Uzi Vert Metro Boomin,1,37126685
Sam Smith Calvin Harris Jessie Reyez,1,103787664
Doechii,1,95131998
Ray Dalton Ryan Lewis Macklemore,1,1953533826
Beach House,1,789753877
Bad Bunny Tainy,1,1304313953
Glass Animals,1,2557975762
Adassa Mauro Castillo Stephanie Beatriz Encanto  Cast Rhenzy Feliz Diane Guerrero Carolina Gaitan,1,432719968
Yng Lvcas,1,191945597
Mainstreet Chefin,1,143139338
R,1,445763624
Luis R Conriquez La Adictiva,1,323455692
KALUSH,1,53729194
Yahritza Y Su Esencia Grupo Frontera,1,188933502
TV Girl,1,466231982
Lord Huron,1,1410088830
Ruth B,1,1116995633
Sleepy hallow,1,624515457
The Weeknd ROSAL,1,374706940
Dua Lipa Megan Thee Stallion,1,299634472
Melody Ana Castela Dj Chris No Beat,1,191873381
Bad Bunny Grupo Frontera,1,505671438
Karol G Romeo Santos,1,266624541
Tisto Ava,1,656013912
King,1,319566866
Natanael Cano Gabito Ballesteros Peso Pluma,1,463564958
Coi Leray,1,335074782
Leah Kate,1,185550869
SZA Don Toliver,1,94005786
Kendrick Lamar Ghostface Killah Summer Walker,1,76831876
Pharrell Williams Tyler The Creator 21 Savage,1,136676504
Sean Paul Feid,1,115010040
Mc Livinho DJ Matt D,1,39709092
Niall Horan,1,144584800
JISOO,1,232896922
Chuck Berry,1,245350949
Vance Joy,1,2009094673
24kgoldn Iann Dior,1,1699402402
Armani White,1,277132266
Leo Santana,1,134294498
Bizarrap Paulo Londra,1,164163229
Kaifi Khalil,1,156777415
Nessa Barrett,1,131746175
Gunna,1,95217315
Swae Lee Lil Wayne Offset Metro Boomin,1,86773632
Morgan Wallen Eric Church,1,58890931
Jos Felic,1,520034544
sped up 8282,1,103762518
Billie Eilish Khalid,1,2355719893
Alec Benjamin,1,1374581173
SZA Doja Cat,1,1575467011
Ozuna Feid,1,674072710
Feid Alejo Robi,1,273005485
RM,1,135611421
Tony Dize Bad Bunny,1,479655659
Bizarrap Quevedo,1,1356565093
Oscar Maydon Junior H,1,307370144
Ti,1,1062345656
Luude Colin Hay,1,252871192
Lauren Spencer Smith,1,184826429
Snoop Dogg BTS Benny Blanco,1,219196651
Danny Ocean,1,421365166
Feid Paulo Londra,1,73513683
Travis Scott 21 Savage Metro Boomin,1,195516622
Ana Castela AgroPlay,1,233801632
The Weeknd Lana Del Rey,1,611700552
Jessica Darrow,1,267758538
Jack Harlow Lil Nas X,1,1814349763
Marshmello Juice WRLD,1,84697729
Arijit Singh SachinJigar,1,139836056
Jordan Fisher Josh Levi Finneas OConnell 4TOWN From Disney and Pixars Turning Red Topher Ngo Grayson Vill,1,120847157
Schrze DJ R,1,130419412
LF System,1,244790012
Kendrick Lamar Tanna Leone,1,58687425
Surf Curse,1,824420218
Gustavo Mioto Mari Fernandez,1,222612678
Karol G Ovy On The Drums,1,294352144
Lil Tjay,1,190981339
HA SUNG WOON Jimin,1,240580042
Kendrick Lamar Kodak Black,1,123216717
Oxlade,1,222410722
Mc Vitin Da Igrejinha MC Tairon DJ Win,1,129314708
Kendrick Lamar Beyonc,1,57089066
James Blake Metro Boomin,1,39666245
Tainy Bad Bunny,1,61245289
Taiu Milo j,1,248088961
Guns N Roses,1,1553497987
Intense AP Dhillon Gurinder Gill,1,327498031
Ed Sheeran Fireboy DML,1,261286503
Peso Pluma Luis R Conriquez,1,295152154
Blackbear BoyWithUke,1,197643795
Sleepy hallow 347aidan,1,160845341
YOASOBI,1,143573775
Quevedo Jhayco,1,61105704
Chencho Corleone Rauw Alejandro,1,809306935
Sam Smith Kim Petras,1,1230675890
Lizzy McAlpine,1,293186992
Jessi,1,136996305
Anitta Tini Becky G,1,121189256
Z Neto  Crist,1,145458418
Don Toliver Future Justin Bieber,1,105062254
Chanel,1,65719930
Justin Bieber The Kid Laroi,1,2665343922
Trueno Tiago pzk,1,261414174
Meghan Trainor,1,502574952
Manuel Turizo,1,1214083358
Yung Gravy,1,221752937
Taylor Swift Ice Spice,1,46142772
Steve Aoki Tini La Joaqui,1,120972253
Chris Molitor,1,1755214421
Kendrick Lamar Jay Rock,1,1093605526
Hozier,1,2135158446
Rels B,1,331511413
J Cole Lil Durk,1,144565150
John Legend,1,2086124197
Emmy Meli,1,225259194
Imagine Dragons League of Legends JID Arcane,1,2446962298
Stromae,1,108809090
Nengo Flow Bad Bunny,1,304118600
jhope,1,155795783
Dean Martin,1,446390129
Southstar,1,154356956
Elton John Britney Spears,1,284216603
Playboi Carti,1,506778838
Drake Project Pat 21 Savage,1,594482982
BoyWithUke,1,582981380
DJ Escobar MC MENOR SG MC MENOR HR,1,174006928
Dj LK da Esccia Tchakabum mc jhenny M,1,116144341
Duki NICKI NICOLE Cris Mj Standly Stars Music Chile,1,223582566
SEVENTEEN,1,91221625
PinkPantheress Ice Spice,1,312677248
Seafret,1,571386359
Cigarettes After Sex,1,841749534
Kevin Kaarl,1,244891912
Marlia Mendona Maiara ,1,258316038
Kordhell,1,448843705
Grupo Frontera,1,404887295
Mc Pedrinho DJ 900,1,11956641
Gabito Ballesteros Junior H Peso Pluma,1,86444842
Arcangel Bizarrap,1,100409613
Linkin Park,2,2985590613
Frank Ocean,2,1628636796
Michael Bubl,2,1283806731
Burna Boy,2,389473914
Central Cee,2,780321205
Lizzo,2,971583596
Daddy Yankee Bad Bunny,2,1108955074
YEAT,2,412240659
RAYE 070 Shake,2,716645106
Nat King Cole,2,516799679
Tate McRae,2,1523292028
The Kid Laroi,2,392280108
Paulo Londra,2,330227609
Miley Cyrus,2,1887370770
OneRepublic,2,3097149603
Juice WRLD,2,2474103659
Future,2,304965349
Junior H Peso Pluma,2,410337753
Sebastian Yatra,2,677953234
Ryan Castro,2,626026463
Nirvana,2,2058839789
David Kushner,2,511978174
Hotel Ugly,2,586967944
Nicki Minaj Lil Baby,2,146065318
Sia,2,1629949620
Daddy Yankee,2,815714311
Ariana Grande,2,2086692936
d4vd,2,1316995171
Dr Dre Snoop Dogg,2,2053908531
ROSAL,2,907358070
Nicki Minaj,2,510105069
XXXTENTACION,2,2223066724
Jung Kook,2,284788646
Fuerza Regida,2,254854130
The Weeknd Gesaffelstein,2,1392204126
Eminem Dr Dre,2,739827412
Lil Baby,2,187339412
GIDLE,2,266983330
James Arthur,2,2686344050
Rauw Alejandro,2,1634602179
Peso Pluma,2,425400058
Fifty Fifty,2,636477650
Lady Gaga,2,610826730
Troye Sivan,2,431424489
TWICE,2,535379733
LE SSERAFIM,2,530549573
Avicii,2,3426754746
Charlie Puth,2,646703472
Stray Kids,2,277731036
Jasiel Nuez Peso P,2,129083819
Rauw Alejandro Bizarrap,2,121168605
Bruno Mars Anderson Paak Silk Sonic,2,1499431000
Mambo Kingz DJ Luian Anuel Aa,2,197257295
Bad Bunny Jhay Cortez,2,2371592360
Yandel Feid,2,632789310
Ariana Grande The Weeknd,2,1740558591
JVKE,2,1097262367
Duki,2,342373931
Lewis Capaldi,3,4734698360
The Neighbourhood,3,4010009939
Steve Lacy,3,1945132459
Joji,3,2357270185
Lil Nas X,3,2988745319
Shawn Mendes,3,2256812464
Imagine Dragons,3,5272484650
Beyonc,3,1122304190
Coldplay,3,3825176058
Jimin,3,705445695
BLACKPINK,3,1269030423
Kanye West,3,1967540868
Dua Lipa,3,3227639000
ENHYPEN,3,365477661
Post Malone,3,2319942143
Lana Del Rey,3,1396024922
Justin Bieber,3,3919813522
Tyler The Creator,3,600669417
Jack Harlow,3,1038470158
Bruno Mars,4,5846920599
Drake,4,655542929
Eminem,4,6183805596
IVE,4,942190597
Quevedo,4,977071326
Adele,4,4508746590
Karol G,4,1260876433
Mne,4,2675632206
Arctic Monkeys,4,5569806731
Billie Eilish,5,2616432448
NewJeans,6,1544567007
Doja Cat,6,4702294655
Olivia Rodrigo,7,7442148916
Labrinth,7,2312730131
Feid,8,2220740399
BTS,8,4389891591
Drake 21 Savage,8,2076567740
Ed Sheeran,9,13908947204
Morgan Wallen,11,1666199217
Kendrick Lamar,12,3033135947
Harry Styles,17,11608645649
Bad Bunny,19,9997799607
SZA,19,4557811204
The Weeknd,21,14054897067
Taylor Swift,34,14053658300
