track_id,total_playlist
5380546,2370
1956320,3138
6158916,1603
3923724,2115
6107898,3395
1729982,8771
1392259,836
5300224,3140
4562499,3652
2394886,15428
1630789,19524
8553734,582
5678676,582
1239958,3142
2008299,24134
5402623,327
5334385,1095
3092002,4423
1589586,328
6470158,584
1367281,840
5005107,1864
2079115,2120
7688790,2376
6990936,10056
6728037,841
6062396,841
7204092,1353
1910640,3913
6293464,74
3461405,330
6333549,586
1743307,1354
3035987,1354
2699923,10314
1633065,843
3569943,1099
6759871,2891
1832626,22604
2577311,3149
8167749,3405
5663428,9037
8171348,590
3546129,590
6621439,1614
2106751,2638
7435337,3150
7512111,335
5264430,1103
3169976,4175
1912112,5455
6195210,5711
4278371,6991
8173823,592
3670203,1104
1054764,2384
5898111,3408
8597238,8784
4765423,18256
8297242,850
7757967,1362
6372213,1618
3183051,4690
3126367,38226
2619841,2643
5864281,6483
3363172,20819
5478299,1364
8126826,4436
6322459,9300
2828618,20564
8788368,23636
2475712,341
6133453,2645
4505539,3413
5406019,6485
2148200,11349
7624098,598
6773043,1366
5347552,4950
5239763,1111
6261319,5719
4618597,344
3970396,344
4928987,89
6776344,345
5697442,345
4148996,857
4497491,1113
8555603,4697
1718193,1626
2003358,1627
3054476,92
5141433,604
7629327,604
3814670,1884
2392756,2652
1119309,2652
3694791,2652
3076130,2908
2661792,605
3923468,2653
3284752,2653
6735267,4701
2886961,5725
2012053,350
5899602,1630
1236328,10078
4350729,16990
6026926,863
1892693,3167
8209238,96
1647815,1632
4600873,3424
2468227,3424
7806612,7008
6002262,8288
6416915,11360
1660982,17248
7021208,97
6452995,353
5836808,609
1183111,1377
7298940,1889
1545230,2401
6824324,3937
2540650,2146
5666047,10082
8125634,355
3933523,867
7741272,2915
8672552,3427
6372609,10595
3049716,27491
4169887,868
8779560,2148
1198357,5476
5370460,10597
8272175,358
1461831,614
8666108,614
7732446,11110
7070604,615
2230668,1127
5904115,1639
8001796,1895
2612867,1895
4102590,2151
3853127,360
8513259,360
3317105,1128
1906058,3944
2092930,5992
6909746,12136
7680579,2921
5346382,10089
2188178,25449
6620188,362
6829928,362
6644972,874
8360758,16746
2848319,1131
3090144,2667
3782910,4203
6719600,4715
7230461,364
1338081,1132
2786767,1132
5911914,1388
7235348,2924
3329363,5228
8408827,20076
7513238,1645
7402588,2669
6352056,2925
1035366,3437
8753775,11117
2068804,622
1532170,1646
2748330,2670
8333879,3182
4299313,39022
4837745,879
2432426,1391
4758406,1647
1336403,2160
8090551,2416
4491971,2928
5145584,4976
1166211,369
3305057,369
2820265,626
2442031,1394
4603662,115
8091023,627
5975489,627
2011518,3443
3087104,11891
3780370,49523
3841850,884
1828295,373
2468710,6005
6213355,886
5179092,1654
7387090,2422
5498548,8310
1323431,13942
7529779,631
4070434,887
8760891,1399
2754241,2167
7345306,15223
6879361,7032
2553984,47992
3546474,377
6204936,2937
3007244,6010
1230186,1403
2313207,1659
4311407,2939
1459555,4731
1289598,7803
5701355,1916
5763974,637
4812397,893
8283550,893
3386819,3709
8943060,126
7881394,382
2009624,638
4538543,1662
3575524,2174
1611239,6782
7654973,895
4989276,1151
7403072,3199
2820520,4735
8537557,384
6457168,640
4082370,641
4031115,897
2070479,897
4257818,4225
1452364,642
3786238,898
5694303,21378
4061483,2947
5311211,2947
1776310,19587
4363557,644
6009839,1156
7860258,6788
5906167,61316
7517093,389
3986213,645
3745752,9350
2587921,903
5667205,3207
6047703,7815
2059327,11655
3252166,14983
4830246,648
1488746,904
4967426,5256
8693885,2697
4421880,3209
1291434,6537
7546342,12937
1824533,138
8274842,650
5686736,650
2395685,906
7434389,1162
3170547,5514
8729578,6282
2830739,1675
4832204,2187
4796316,8075
8483246,14219
6604479,1420
7321459,4748
5930788,3213
4131863,4493
5142009,9869
7405938,57486
6720570,399
4940529,911
5087776,1935
6643902,5007
6721865,12431
4446199,13711
4847849,400
8654169,656
1221828,1680
2339996,2704
5418507,401
1532080,913
4501584,1937
6320673,6801
3968436,20113
4945945,1170
7543802,1938
2135563,7826
5074676,19858
4611820,915
6456333,2707
5405010,6035
6055373,916
7503630,2196
4890651,2453
3380441,5525
7451979,50069
6143073,406
1168222,3222
4916659,919
4105518,2711
1549051,5527
1438195,1688
